1	а	а	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3537.889#3538.333
2	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@nvs1967f-words#@nvs1967f#3538.333#3538.777
3	анонсируя	анонсировать	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3538.777#3539.221
4	будущие	будущий	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3539.221#3539.665
5	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3539.665#3540.109
6	серии	серия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3540.109#3540.553
7	этого	этот	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3540.553#3541.0
8	ээ	ээ	X	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3541.8#3542.093
9	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3542.093#3542.386
10	документального	документальный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3542.386#3542.679
11	сериала	сериал	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3542.679#3542.972
12	хочу	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3542.972#3543.265
13	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@nvs1967f-words#@nvs1967f#3543.265#3543.558
14	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3543.558#3543.851
15	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3543.851#3544.144
16	если	если	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3544.144#3544.437
17	бы	бы	PART	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3544.437#3544.73
18	те	тот	DET	_	Case=Nom|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3544.73#3545.023
